study_hours,absences,midterm,final_score
43,2,5.3,10.0
56,6,4.6,10.0
33,7,7.4,10.0
19,3,5.6,7.3
47,1,7.2,10.0
12,9,4.8,4.3
25,2,6.6,9.6
43,0,6.9,10.0
23,7,4.3,5.5
27,2,5.9,8.7
15,9,4.7,4.8
15,6,4.3,5.2
28,9,9.4,10.0
57,4,5.8,10.0
40,9,8.5,10.0
44,4,5.4,10.0
28,6,7.7,10.0
7,8,8.2,7.5
26,4,7.3,9.8
57,0,6.6,10.0
6,9,6.3,5.3
28,9,5.9,8.4
48,0,9.1,10.0
34,1,8.6,10.0
42,5,9.3,10.0
6,8,4.7,4.0
25,7,8.0,10.0
37,4,9.2,10.0
16,0,5.0,7.2
26,6,4.4,6.5
48,4,8.1,10.0
29,5,7.2,9.9
53,6,8.6,10.0
31,2,4.8,8.1
46,9,8.4,10.0
32,2,5.1,8.9
20,4,4.9,6.8
19,5,4.9,6.6
51,8,8.5,10.0
55,4,7.7,10.0
48,0,6.9,10.0
59,3,6.0,10.0
56,4,8.8,10.0
7,9,6.2,5.6
41,9,8.5,10.0
55,4,6.4,10.0
11,6,6.1,6.1
25,3,6.5,9.0
13,0,5.7,7.0
43,4,8.1,10.0
22,6,6.8,8.0
8,9,5.3,5.1
29,9,8.9,10.0
18,5,6.1,7.8
54,4,7.0,10.0
13,3,9.0,10.0
30,1,7.4,10.0
57,3,4.6,10.0
6,9,9.2,9.3
24,9,7.5,8.8
32,2,5.8,9.7
51,9,4.8,9.2
11,0,8.4,9.8
48,7,7.4,10.0
12,4,6.9,7.8
51,3,8.9,10.0
39,7,8.3,10.0
18,6,4.8,6.0
21,1,5.7,8.8
40,0,5.4,10.0
54,3,8.1,10.0
44,7,4.2,8.9
8,1,7.1,7.7
6,2,8.2,8.6
10,0,8.8,9.9
58,0,5.9,10.0
46,2,8.5,10.0
8,4,4.6,4.7
58,2,8.7,10.0
33,0,4.7,8.3
22,0,6.2,9.1
30,7,8.4,10.0
48,9,4.8,9.1
38,1,5.3,9.5
14,2,8.0,9.4
40,1,8.0,10.0
18,2,7.5,9.9
35,6,7.8,10.0
52,0,7.0,10.0
19,9,5.4,6.5
12,7,5.9,6.1
18,9,5.0,6.1
27,9,9.0,10.0
44,9,7.2,10.0
25,1,6.2,9.0
