study_hours,absences,midterm,final_score
43,2,5.3,8.1
56,6,4.6,7.6
33,7,7.4,8.4
19,3,5.6,6.2
47,1,7.2,10.0
12,9,4.8,2.9
25,2,6.6,8.4
43,0,6.9,10.0
23,7,4.3,3.9
27,2,5.9,7.4
15,9,4.7,3.3
15,6,4.3,4.0
28,9,9.4,9.6
57,4,5.8,9.6
40,9,8.5,9.7
44,4,5.4,8.3
28,6,7.7,8.4
7,8,8.2,6.4
26,4,7.3,8.3
57,0,6.6,10.0
6,9,6.3,4.1
28,9,5.9,6.4
48,0,9.1,10.0
34,1,8.6,10.0
42,5,9.3,10.0
6,8,4.7,3.0
25,7,8.0,8.3
37,4,9.2,10.0
16,0,5.0,6.6
26,6,4.4,4.8
48,4,8.1,10.0
29,5,7.2,8.2
53,6,8.6,10.0
31,2,4.8,6.7
46,9,8.4,10.0
32,2,5.1,7.4
20,4,4.9,5.6
19,5,4.9,5.4
51,8,8.5,10.0
55,4,7.7,10.0
48,0,6.9,10.0
59,3,6.0,10.0
56,4,8.8,10.0
7,9,6.2,4.5
41,9,8.5,9.6
55,4,6.4,9.6
11,6,6.1,5.0
25,3,6.5,7.7
13,0,5.7,6.5
43,4,8.1,10.0
22,6,6.8,6.5
8,9,5.3,3.8
29,9,8.9,8.8
18,5,6.1,6.6
54,4,7.0,10.0
13,3,9.0,9.3
30,1,7.4,9.5
57,3,4.6,8.2
6,9,9.2,8.1
24,9,7.5,7.0
32,2,5.8,8.2
51,9,4.8,6.3
11,0,8.4,9.4
48,7,7.4,9.6
12,4,6.9,6.9
51,3,8.9,10.0
39,7,8.3,9.6
18,6,4.8,4.7
21,1,5.7,7.9
40,0,5.4,8.6
54,3,8.1,10.0
44,7,4.2,6.5
8,1,7.1,7.3
6,2,8.2,8.2
10,0,8.8,9.5
58,0,5.9,10.0
46,2,8.5,10.0
8,4,4.6,4.0
58,2,8.7,10.0
33,0,4.7,7.0
22,0,6.2,8.2
30,7,8.4,9.2
48,9,4.8,6.3
38,1,5.3,7.9
14,2,8.0,8.7
40,1,8.0,10.0
18,2,7.5,9.0
35,6,7.8,9.2
52,0,7.0,10.0
19,9,5.4,4.9
12,7,5.9,4.9
18,9,5.0,4.5
27,9,9.0,8.9
44,9,7.2,8.8
25,1,6.2,7.9
20,2,6.5,8.0
49,8,9.2,10.0
22,6,4.8,5.8
51,3,7.2,10.0
57,9,6.8,9.2
28,4,7.4,8.3
30,1,4.1,6.1
29,7,8.8,9.6
49,3,9.1,10.0
45,8,7.1,9.6
33,4,7.8,9.4
19,8,9.1,8.3
49,3,7.9,10.0
5,9,4.8,2.7
29,4,7.2,8.7
11,8,7.3,6.1
13,7,6.3,5.7
28,2,8.1,10.0
5,0,9.1,9.5
48,2,9.1,10.0
12,3,6.5,7.0
28,1,4.6,6.1
15,0,9.4,10.0
55,6,8.6,10.0
21,7,4.7,5.2
12,6,9.1,8.5
39,4,8.8,10.0
39,0,6.9,9.5
37,6,7.3,8.5
9,6,6.2,5.7
46,8,4.3,6.0
43,2,5.8,8.9
45,8,8.4,9.6
32,0,4.0,7.0
11,0,5.8,6.9
13,3,6.2,6.6
12,8,7.0,5.7
16,5,9.1,9.2
38,2,5.9,8.4
37,0,5.9,8.4
52,3,8.1,10.0
59,8,6.5,9.2
27,2,5.2,7.2
28,8,6.5,6.1
41,6,4.8,6.6
39,3,5.0,7.0
48,2,6.7,10.0
44,9,6.3,7.7
26,4,9.0,10.0
31,4,6.0,7.7
39,2,7.2,9.4
5,8,7.5,6.2
39,3,4.1,6.2
41,4,7.6,9.5
51,3,5.0,8.2
18,4,9.3,9.1
7,6,4.8,4.0
5,8,6.3,4.6
9,6,4.5,4.1
30,4,9.5,10.0
59,9,6.8,8.8
18,9,7.3,6.2
43,6,4.4,6.5
